[2025-08-23 19:53:15.423] [info]  DiscordSplash.signalReady
[2025-08-23 19:53:15.755] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-08-23 19:53:15.756] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-08-23 19:53:15.757] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-08-23 19:53:15.757] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-08-23 19:53:15.758] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-08-23 19:53:15.758] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-08-23 19:53:15.758] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-08-23 19:53:15.758] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-08-23 19:53:15.759] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-08-23 19:53:15.759] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-08-23 19:53:15.759] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-08-23 19:53:15.759] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-08-23 19:53:15.759] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-08-23 19:53:15.759] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-08-23 19:53:16.018] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-08-23 19:53:16.018] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-08-23 19:53:16.423] [info]  Splash.updateCountdownSeconds: undefined
[2025-08-23 19:53:16.652] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-08-23 19:53:16.652] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-08-23 19:53:16.658] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-08-23 19:53:16.658] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-08-23 19:53:16.714] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-08-23 19:53:16.714] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
